"","project","language","article","access","agent","granularity","date","views"
"223","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-10,17007
"224","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-11,23311
"225","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-12,19208
"226","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-13,16138
"227","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-14,16677
"228","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-15,18790
"229","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-16,17893
"230","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-17,14341
"231","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-18,16012
"232","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-19,20352
"233","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-20,18786
"234","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-21,14919
"235","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-22,15132
"236","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-23,15537
"237","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-24,17057
"238","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-25,17163
"239","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-26,16826
"240","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-27,18269
"241","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-28,17404
"242","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-29,18691
"243","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-30,15919
"244","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-01,17236
"245","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-02,18135
"246","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-03,16865
"247","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-04,18393
"248","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-05,17292
"249","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-06,17867
"250","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-07,17671
"251","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-08,18422
"252","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-09,18242
"253","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-10,20533
"254","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-11,18904
"255","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-12,21198
"256","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-13,15748
"257","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-14,13671
"258","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-15,14416
"259","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-16,18272
"260","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-17,18434
"261","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-18,16750
"262","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-19,15988
"263","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-20,14441
"264","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-21,13996
"265","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-22,14581
"266","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-23,14089
"267","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-24,15628
"268","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-25,14665
"269","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-26,17464
"270","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-27,17493
"271","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-28,15732
"272","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-29,14417
"273","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-30,14635
"274","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-31,17033
"275","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-01,15795
"276","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-02,20771
"277","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-03,16096
"278","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-04,14912
"279","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-05,15482
"280","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-06,16426
"281","wikipedia","en","Facebook","mobile-web","user","daily",2016-08-07,15589
